English_Sentence,Hindi_Sentence,Word_Count_English,Word_Count_Hindi,WC_Difference,Char_Count_English,Char_Count_Hindi,CC_Difference
"""The Vice President said that India has consistently voiced the need to have a strong resolute response to terrorism and its manifestations and India is committed to working towards fighting and elimination of this menace.","""The amount allocated and utilized for passenger safety, capital and development work, cleanliness and finance and accounting reforms in Railways in the financial year 2016-17 is indicated below :-",35,29,6,222,197,25
Im fine by the grace of God.,But its still a long way to go.,7,8,-1,28,31,-3
Hockey: India to face Belgium in test series,"Himandri and Bindu Rani, both friends, were from Karnals Salwan village.",8,11,-3,44,72,-28
This caused panic among consumers.,University of Delhi (Delhi University) is one of the prestigious university of India.,5,13,-8,34,85,-51
This solar eclipse will also be visible in India.,"""The Tata Motors rights issue is perhaps the first one which will have a DVR portion",9,16,-7,49,84,-35
"My memories of 1971 are a continuum from 1968, when I stepped into my teens","""The commission has concluded its findings and has submitted its 17-page report to the Sindh Home Department, as per sources.",15,20,-5,75,125,-50
He said no such incident had taken place in their school.,He added five persons have been arrested in this connection.,11,10,1,57,60,-3
He always thought he was not conventionally good-looking and felt that he would never look as good as Rajesh Khanna.,"""The memorandum stated that out of the 1,241 buildings maintained by the CPWD, LED bulbs have been installed in 223 and the work is in progress in 230 buildings.",20,29,-9,116,161,-45
"This form of retailing faces the problems of small capital, lack of professionalism and low purchasing power.","As PM Modi begins to speak, the strong crowd of Indian-Americans starts chating 'Modi, Modi' slogan.",17,16,1,109,100,9
"""The accused has been arrested on 7.12.2014 from Mathura and has been brought to Delhi where he will be produced before court on 8.12.2014 i.e. today.","Prime Minister Narendra Modi will retain the Department of Personnel and Training, Atomic Energy and Space as well as all important policy issues and portfolios not allocated.",26,27,-1,150,175,-25
"During the last 24 hours, a total of 11,264 COVID-19 patients have been cured","""The bench rejected the petition.",14,5,9,77,33,44
People are sad and angry.,Lets look at some statistics.,5,5,0,25,29,-4
He adds that most political parties are saying that time should not be extended today and tomorrow the minister can reply,"In May 2008, Cook asked Season 2 American Idol alum and TV Guide Network correspondent Kimberly Caldwell for a dinner date while on the red carpet before the show's seventh-season finale.",21,31,-10,121,187,-66
But it was not as I had thought.,"883 crorepatis, 645 candidates facing criminal cases are contesting Karnataka election",8,11,-3,32,86,-54
"""""""People will criticise or appreciate, but for us it matters to stay together in difficult times.""",MeToo in India the ugliness has shaken me up.,16,9,7,99,45,54
I returned from the convention determined to take my stand for my faith in school.,"However, he didnt rule out the possibility.",15,7,8,82,43,39
"""The police have registered a case in connection with the incident, he added.",We are steadily climbing up on the innovations rankings in the world.,13,12,1,77,69,8
"""""""It took three years for him to set up a charitable organisation which became popular as """""""" Vanrai"""""""".""""""",CCD may be caused by mites or associated diseases or unknown pathogens.,18,12,6,110,71,39
Save it and take a printout for future use.,Low-yield nuclear weapons are also devastating but have a strength of less than 20 kilotons.,9,15,-6,43,92,-49
"Above all, it would need to imbibe the advice given by Maulana Azad in October 1947:","""The accused is cousin brother of the victim.",16,8,8,84,45,39
"""The iPhone 12 Pro comes with 12MP ultrawide, 12 wide angle lens and 12 telephoto lens.","Certainly whoever commits misdeeds and is besieged by his iniquitysuch shall be the inmates of the Fire, and they will remain in it [forever].",16,24,-8,87,142,-55
Most of these are of clay.,Nearby was a house belonging to an inactive sister and her family.,6,12,-6,26,66,-40
"Mr Prime Minister, at that time, you had not taken his (Singhs) name out of respect.","""There have been one tie while 11 matches have ended in no result.",16,13,3,84,66,18
"""The fruit is rich in Vitamin K, Vitamin C, fibre and potassium.",European stocks were also trading lower in early trade.,12,9,3,64,55,9
"""The man (Nitish) who could not be loyal to George Fernandes, Sharad Yadav and snapped 17 years of ties with the BJP can also dump Lalu.","Established in Lahore in 1910, the college building still stands there in the name of Government Dyal Singh College.",26,19,7,136,116,20
"Circumcise therefore the foreskin of your heart, and be no more stiff-necked.",About 50 people were injured.,12,5,7,77,29,48
"Several commercials featured on HBO and Facebook aired prior to the series premiere, placing vampires in ads similar to those of beer and wine.",Officials said that regularisation was done following decision taken by the Cabinet in its recent meeting chaired by the Chief Minister Raman Singh.,24,23,1,143,148,-5
"""', Chhillar responded: """"A Mother should get that highest honour, and not just salary but also lots of love and respect.""","Alia Bhatt , Sidharth Malhotra , Fawad khan starrer film Kapoor & Sons first song Kar Gai Chull has finally released.",21,21,0,122,117,5
Commerce and Industry Minister Shri Piyush Goyal yesterday said that this would be a genuine single window and all the concerned State Governments and Central Ministries are being taken on board for the system.,"By contrast, the hiring and dismissal of principals and teaching personnel has up to now been the exclusive prerogative of supervisory administrators, wholly removed from the parent and local groups.",34,30,4,210,199,11
No action has been taken in this regard.,"""They are also the world's two most populous countries.",8,9,-1,40,55,-15
"Mumbai: Bollywood's Queen Kangana Ranaut will take centrestage as a 'fairytale muse' at the Lakme Fashion Week (LFW) Spring-Summer 2018 edition, when she turns showstopper for designer duo Shyamal &Bhumika's 'Wonderland' line.","We strongly condemn victimisation of Yog [Yogendra] Yadavs family by Modi government through the use of agencies like IT [Income Tax Department], Kejriwal wrote on Twitter.",32,26,6,226,172,54
A family case is going on in the court currently.,One had moved to the United States.,10,7,3,49,35,14
Mumbai: The news of Bollywood actor Sushant Singh Rajputs death has jolted the entire nation.,Kerala Lottery Today Results: The Kerala state lottery department will announce the results of Karunya Plus Lottery KN-306 today.,15,19,-4,93,129,-36
"Nine people are currently in hospital, including one person in ICU.",This makes the skin soft and supple.,11,7,4,67,36,31
JDU wants Tejaswi's resignation but Lalu won't budge on it.,"After about ten minutes, the agitated opposition members returned near their seat but did not occupy it",10,17,-7,59,103,-44
No one can create an atmosphere.,This will change the scenario.,6,5,1,32,30,2
"Later, a compromise had been worked out.","In our case Pakistan has made it as an instrument of its state policy, he said.",7,16,-9,40,79,-39
Zero is an even number.,What will happen if the e-challan is not submitted?,5,9,-4,23,51,-28
Karnataka stands at 11th position in country with 170 active COVID-19 cases,Thus shall they be entertained on the Day of Recompense.,12,10,2,75,56,19
Can 't create window of class% s% s,Bangladesh is the second-largest garment producer after China.,8,8,0,35,62,-27
"""The terms of the Legislative Assemblies of Gujarat and Himachal Pradesh will normally expire as follows:","Jay Carney, White House Press Secretary",16,6,10,105,39,66
Dilip Kumar's bungalow is located in the upscale Pali Hill area of Bandra.,Rahul Gandhi may contest Lok Sabha polls from 3 seats,13,10,3,74,53,21
"According to U.S. NIOSH, the immediately dangerous to life and health (IDLH) limit is only 75 ppm.","Asked what is that mindset, the NDB head said, the borrowers mindset is please understand our challenges and lend accordingly.",17,20,-3,98,126,-28
"West Bengal Chief Minister Mamata Banerjee, in an appeal to the public, asked them to maintain peace in the state.",Priyanka Chopra and Nick Jonas got married in accordance with Hindu and Christian customs.,20,14,6,114,90,24
It is a huge honour to have been chosen by a production house like Yash Raj Films as their heroine.,Majid Majidi's film Beyond the Clouds was the opening film at 48th International Film Festival of India.,20,17,3,99,104,-5
"""The accused was brought here by the Punjab Police from Nabha Jail.",Simmons was named Player of the Match and Pollard was named Player of the Series.,12,15,-3,67,81,-14
"Two rebel Congress MLAs, Alpesh Thakor and his close aide Dhavalsinh Jhala, cross-voted for the BJP.",Reproductive organs in male and femel forms of life.,16,9,7,100,52,48
"""The corporation earns around Rs 30 crore annually from water supply in the city.","During training, a stipend of Rs 14,600 per month will be paid.",14,12,2,81,63,18
So why is this controversial?,Virat Kohli raises his bat after remaining unbeaten on 157.,5,10,-5,29,59,-30
"Besides, the physically challenged member can seek advance for purchasing equipment to deal with handicap under Para 68-N.",We didnt have lot of water to drink in the summer.,18,11,7,122,50,72
"Since then,the accused had been harassing her.","Similarly, section 255 is in pari materia with article 234 of the Constitution.",7,13,-6,46,79,-33
"O My fellow inmates, are diverse lords better, or God, the One, the Supreme?","Opponents are always trying to get you out, trying to outsmart you and you need to stay ahead of them.",14,20,-6,76,102,-26
His family members have been informed about his death.,"Again, the main parts of a sentence are the subject, verb, and object.",9,13,-4,54,70,-16
"Meanwhile, Akshay Kumar will essay the role of ATS chief Veer Sooryavanshi.","Chapungu's wings, along with the crane, rose to declare the fall of Cecil John Rhodes.",12,15,-3,75,86,-11
Protesters had blocked the road.,Prime Minister Narendra Modi also expressed grief over the deaths.,5,10,-5,32,66,-34
We advance our broad-based partnership through 30 mechanisms,We asked him if he would send his daughters as well as his sons.,8,14,-6,60,64,-4
Prime Minister congratulated the state governments of Karnataka and Andhra Pradesh for progress made in timely completion of the project related to strengthening of transmission system beyond Vemagiri.,"New Delhi | Jagran Sports Desk: The second ODI between India and Australia is scheduled to take place at the SCA Stadium, Saurashtra on Friday.",28,25,3,201,143,58
Two ministers in the Adityanath-led state government Dara Singh Chauhan and Ramapati Shastri were on the stage with him while he made these remarks,"I feel, it is difficult to pull off a role like that if you cannot play cricket.",24,17,7,147,80,67
"To understand the significance of Bharatendu 's contribution to Hindi, it would be better to know the pace of the development of Hindi before his appearance on the literary scene.","Mumbai: Supporting the farmers agitation, Nationalist Congress Party (NCP) President, Sharad Pawar asked them to continue the stir till their demands were met.",30,23,7,179,159,20
"Some people are turned away from events because of how they look like is a very unfortunate development, she said in response to a question.","After much lobbying, Indias former foreign secretary Shiv Shankar Menon succeeded, when he was Indias ambassador in Beijing, in getting Chinese approval to import at least four Indian movies per year into China",25,33,-8,140,210,-70
It was her parents' dream to see their daughter become a doctor.,"Yes, today elections are being held, I answered.",12,8,4,64,48,16
"In an interview to The Indian Express on Wednesday, Vijayan, citing his states special bonds with the emirates, said the UAE cannot be considered as any other nation.","""CEO Campbell Wilson said, """"Scoot is excited to bring our proposition of value travel and service to guests in India who will soon be able to fly to amazing destinations in our network through the Singapore hub.""""""",28,37,-9,166,215,-49
Minimum 20 percent land will be reserved for small and cottage industries in industrial areas.,"""The RBI said growth for 2016-17 is projected at 6.9 per cent with risks evenly balanced around it.",15,18,-3,94,99,-5
This includes 659 labs in the government sector and 248 in the private sector,"""The references to Draupadi Ajamal, Ganika, Gajendra, comprise the poetic allusions within the comprehension of the Indian people.",14,18,-4,77,130,-53
Our government works for the poor.,"But thankfully, no one was hurt.",6,6,0,34,32,2
"In addition, many saccharide units can undergo various chemical modifications, such as amination, and can even form parts of other molecules, such as glycoproteins.","To the paste, add half a teaspoon of turmeric powder and then mix it well.",24,15,9,164,74,90
Her death is being linked to Sushants death.,Swedish automaker Volvo is known for its technological advancement and safety features in the automobile industry,8,16,-8,44,113,-69
Thats why this step has been taken.,Indeed there is a portent in this for those who believe.,7,11,-4,35,56,-21
Be accompanied by such fees as may be prescribed.,"So [Musa (Moses)] threw his stick, and behold, it was a serpent, manifest.",9,13,-4,49,74,-25
It is a matter of great happiness that the government of India has decided to confer the Bharat Ratna on Atal Bihari Vajpayee and Madan Mohan Malviya.,"< i > In most cases, the provider 's PPP servers will support all authentication methods. If connections fail, try disabling support for some methods. < / i > < i >",27,32,-5,150,164,-14
"Dominic Toretto and his family must face Dominic's younger brother Jakob (John Cena), a deadly assassin, who is working with their old enemy Cipher, and who holds a personal vendetta against Dominic.","""There were reports that Rao and the chief of YSRCP Congress Jaganmohan Reddy have also been invited but there was no confirmation.",32,22,10,199,131,68
It has a screen resolution of 1080 x 2400 pixels.,Actor-politician Kamal Haasan's daughter Akshara Haasan's private pictures were circulated on social media earlier this week.,10,16,-6,49,125,-76
"On Wednesday, the agency has raided 17 locations across India including four shell companies in Mumbai, reported PTI","STUDENTS MUST BE ENCOURAGED TO CHALLENGE ACCEPTED FAITHS AND BELIEFS, SAYS PRESIDENT, Rashtrapati Bhavan : 05.09.2016",18,16,2,116,117,-1
"This time too, I'm sure I'll do it.",Bhojpuri film star and BJP MP Manoj Tiwari,8,8,0,35,42,-7
"""The UPA government is neck deep in corruption, he alleged.","""The pre-cooked food will be packaged food which are just required to put into microwave before being served hot.",10,19,-9,59,113,-54
"He is the co-owner of India League team Ranchi Rays and Chennaiyin FC, a football club featuring in the Indian Super League.","Mumbai: Senior Congress leader Ahmed Patel arrives at JW Marriott Hotel, where Congress MLAs are currently lodged.",22,17,5,124,114,10
This year has been declared by the United Nations as the International Year of Family Farming.,"""""""Two youth have met (Rahul Gandhi and Akhilesh Yadav).""",16,9,7,94,57,37
Don 't medicate kids for attention deficit disorder,"""They are our role models.",8,5,3,51,26,25
"Similarly, the broader NSE Nifty jumped 57.25 points or 0.49 per cent to close at 11,844.10.",Three policemen were injured in this incident.,16,7,9,92,46,46
India love to hate Pakistan.,Visitors enjoyed shopping along with cultural events.,5,7,-2,28,53,-25
A new movement has sprung up in Pakistan's Pashtun-dominated northwestern areas.,"""The Foreign Exchange earnings from tourism have also increased 50 per cent in the last 4 years",11,17,-6,80,95,-15
He demanded a Central Bureau of Investigation (CBI) enquiry into the incident.,"""The bodies of the deceased have been sent for postmortem.",12,10,2,78,58,20
He ended up getting there because he is unstoppable when he goes past 130-140.,"But now, I earn around 2 lakh a year only through farming.",14,12,2,78,58,20
Its objectives are to: -,I have trained a lot of boxers but his talent is outstanding from others.,5,14,-9,24,73,-49
"""There is law in the country.","For the July-September quarter, GPF provided 7.6% rate of return.",6,10,-4,29,65,-36
That's my answer to the overpopulation question.,"""The revised dates of examinations will be released soon.",7,9,-2,48,57,-9
"He said Swami Pranavananda, the founder of Bharat Sevashram Sangha, had spoken of social justice a century ago, and established the Sangh for this purpose.","""The C - DAC, Noida provided long term and short - term training courses in specialized and advanced computer domain in India for the Vietnamese students under this program.",25,29,-4,155,173,-18
Stuart Broad stood out with a 4-wicket haul and Chris Woakes also bagged a 3-fer.,Police are trying to contact the family members of the deceased and the injured.,15,14,1,81,80,1
Also Read: IPL 2020: Five most expensive players in the history of IPL,"Wireline telephone services are provided by BSNL, Reliance, and Tata Indicom.",13,11,2,70,77,-7
1950: Paramahansa Ramachandra Das files suit for continuation of worship and keeping the idols.,"During Navratri, the Nav Durga (the nine forms of Maa Durga) are worshipped.",14,13,1,95,76,19
"""Theres nothing bad in it.","But, always blaming the Pakistani military and not taking proper action is not good.",5,14,-9,26,84,-58
"""The Speakers elaborated on how India as a global leader in ICT needs to integrate technology to expand the reach of higher education.","""They had vandalised the set of the film and physically attacked director Sanjay Leela Bhansali.",23,15,8,134,96,38
"Additionally, on August 5, gold futures on MCX closed at Rs 45,500 per 10 grams, up 0.82 per cent or Rs 372.",Nagpur: Energy minister Nitin Raut has promised to reduce power tariff soon.,22,12,10,108,76,32
You need to have polycrystalline silicon displays in order to make OLED televisions.,We're pulling clear of them.,13,5,8,84,28,56
Jagdishpur in Amethi is one constituency that enjoyed uninterrupted power supply throughout the election period.,Officers will be pleased with your work.,15,7,8,112,40,72
< b > Source URL < / b > < b >,"When Prime Minister is discussing with the Vietnamese President, it is not correct on my part to comment on it.",12,20,-8,30,111,-81
"""Theres no dispute about that.",It is powered by the Qualcomm Snapdragon 632 processor.,5,9,-4,30,55,-25
"""""""I was new, had no experience at this level (Centre).""","""The Noguchi table has become famous for its unique and unmistakable simplicity.",10,12,-2,56,80,-24
Avoid an argument with your spouse.,"In an election situation, the vote-on-account is usually for a four-month period.",6,12,-6,35,81,-46
"Not surprisingly, most two-wheeler accidents in India result in head injuries.","Top losers in the Sensex pack included SBI, Tata Steel, Hero MotoCorp, Bajaj Auto, ONGC and IndusInd bank.",11,18,-7,78,106,-28
You need to wait for the right time.,Pakistan won the watch by 5 wickets.,8,7,1,36,36,0
He was arrested on Thursday.,"So Im really, really happy for them.",5,7,-2,28,36,-8
"Kasba (Bengali: ) is an upazila of Brahmanbaria District, Chittagong Division in east-central Bangladesh.","Nari Ki Choupal, Free Cancer Screening and Meghalaya Women Farmers Festival among Important Activities at Vatsalya Mela-2013",14,17,-3,105,124,-19
"In 55 years, 12 crore gas connection were given. In last 55 months, 13 crore gas connections were given and 6 crore were Ujjwala.","Focused attention by the government, and public and private organizations, has seen several initiatives being launched for the promotion of innovation and entrepreneurship in India.",24,25,-1,129,181,-52
Ananya shared her pictures on her Instagram account.,"""The faade of this cave is missing.Similar to Cave 2 is Cave 5.",8,13,-5,52,63,-11
"""There is also a Sign for you in the story of Moses when We sent him with a clear authority to Pharaoh.","Delhi Commission for Women (DCW) chairperson Swati Maliwal has taken up her case and written to UP chief minister Yogi Adityanath, seeking justice for the woman.",22,26,-4,103,161,-58
Police reached the spot after being informed and started investigating the case.,"""The finance ministry, however, opted for Rs 50,000",12,8,4,80,51,29
"Fed on this waste food, the weeds have grown abundantly, turning the lake into a ghastly spot.","How he had wrought his signs in Egypt, and his wonders in the field of Zoan:",17,16,1,94,76,18
What did you think about it?,When the demand in the season may be at the highest level.,6,12,-6,28,58,-30
"""The police, on getting information, rushed to the spot and sent the bodies to civil hospital for post- mortem examination.","But that the dead are raised, even Moses showed at the bush, when he called the Lord 'The God of Abraham, the God of Isaac, and the God of Jacob.'",20,30,-10,123,146,-23
"""The video has so far garnered over 4 lakh views on the platform.","However, Ramgopal Yadav, SP national general secretary discounted Amar Singh.s re-entry into the party.",13,14,-1,65,103,-38
BJP president Amit Shah also frequented his visits to the state.,Indian Railways is also running special trains.,11,7,4,64,47,17
"Later, the Shiv Sena-NCP-Congress combine met Governor Bhagat Singh Koshyari and staked claim to form the government in Maharashtra.",Benefit of filing uarterly return under GST be extended to all rather than limiting to those with a turnover of Rs.1.5 crore.,19,22,-3,132,125,7
"No supporting staff has been provided to the present Governor, Urjit Patel at his residence.","""The ISIS and al-Qaeda in Indian Peninsula have claimed responsibility for some of the attacks although the government denies their presence in Bangladesh.",15,23,-8,92,155,-63
"Public Works Department (PWD), Government of Haryana, etc.",Thieves decamp with Rs 1.5 lakh,8,6,2,58,31,27
Priyanka retains right to speak in personal capacity: UN,Two students killed after gunman opens fire at a School in U.S,9,12,-3,56,62,-6
"""The biggest advantage of the phone is its 6000 mAh battery.","""The period of holding or possession of property.",11,8,3,60,49,11
"In this country, there was never a raid on the residence of any sitting minister.",This soul-stirring video is a result of the Manuvadi thought.,15,10,5,81,61,20
"""The collegium also recommended the appointment of advocate Viju Abraham as a judge in the Kerala High Court.",All the players donated their match fees to charity.,18,9,9,109,52,57
It raised short-term lending (repo) and borrowing (reverse repo) rates by 25 basis points each to 6.75 per cent and 5.75 per cent respectively.,"This year, candidates probably noticed the effect on salaries and employment due to economic slowdown, explained Satish Deodhar, CAT convener and faculty at Indian Institute of Management, Ahmedabad (IIM-A)",24,29,-5,143,206,-63
"In fact, the Australian post - tea resurgence came a lot from the sheikh of tweak as he inspired his teammates from the dressing room to the field.",I wont hesitate in saying that nobody will even carry the corpse of the National Flag in Kashmir (if the Article is scrapped).,28,23,5,147,126,21
"I saw everything, I heard everything.",You see the complete hopelessness in the eyes .,6,9,-3,37,47,-10
That sun of righteousness is none other than Jesus Christ himself.,"When he objected, they started beating him up.",11,8,3,66,46,20
Prime Minister Narendra Modi was also present in the conference.,"Some viruses also make the body more susceptible to bacterial infection. for this reason, bacterial pneumonia often complicates viral pneumonia.",10,20,-10,64,144,-80
He is a resident of Delhis Shahdara.,Vermaji was deeply influenced by all this.,7,7,0,36,42,-6
"With England in difficulty, Pietersen edged Danish Kaneria to short leg when only on one, as England were to be defeated by an innings.","All the accused were produced in the court, which remanded them to judicial custody.",24,14,10,135,84,51
"""The accused were produced before the court and sent to police remand.","Or, Who has first given to him, so that it must be repaid to him?",12,15,-3,70,65,5
He died due to heart attack.,Where to go on this weekend?,6,6,0,28,28,0
"One of the director generals of police Siddarth Chattopadhay in a plea before the high court blamed DGP Suresh Arora, DGP Dinkar Gupta and inspector general L.K.","""The President said there are several important initiatives that have been taken by the Government of India to accelerate the progress of the nation and for enhancing the standard of living of the people.",27,34,-7,161,204,-43
In some cases I would just set them on fire and enjoy watching the firemen put out the flames.,"""The matter is being investigated by the concerned authorities.",19,9,10,94,63,31
"""The first prospective holy ones chosen were Jesus faithful apostles.",Haryana Chief Minister Bhupinder Singh Hooda also attended the function.,10,10,0,69,72,-3
Time is money: Paris thief swipes Rs 6 crore Swiss watch from Japanese mans wrist,"Terry, get in here, quick!",15,5,10,81,26,55
"Via video link, he flagged off the first 12000 HP Freight Electric Locomotive, and the Champaran Humsafar Express.","Submission of responses to the White Paper will be received till 31st January, 2018 preferably through the website: https://innovate.mygov.in/data-protection-in-india/.",18,19,-1,114,168,-54
Reliance Power exits Tiaiya power project,This came to light during his initial questioning by police.,6,10,-4,41,60,-19
Xiaomi Redmi Note 7S to go on first sale today via Flipkart,Delhi Police's Special Cell begun an investigation into the matter.,12,10,2,59,67,-8
"""The Foundation promotes Communal Harmony and strengthens National Integration","In rare occasions, a non-Catholic may be awarded the order.",9,10,-1,78,59,19
"""The specified folder may not be empty.","""The candidate must have proficiency in the local language.",7,9,-2,39,59,-20
"Following this, several police teams were sent to the spot.",Recovery of Dues by DC,10,5,5,59,22,37
stool is a solid end product of digested food.,"""They also asserted that the book was a reference book and not a text book.",9,15,-6,46,75,-29
Jesus made this quite clear when he showed how much Jehovah appreciated the widows mite.,"Students assault BHU professor on campus, 2 FIRs lodged",15,9,6,88,55,33
"This will be an important step towards meeting broader national objectives, encouraging self reliance and aligning the defence sector with the Make in India initiative of the Government.","Ranveer plays the role of Delhi Sultan Alauddin Khilji in the movie, which is about the valour of Rajput queen Padmavati.",28,21,7,186,121,65
"""""""It's a challenge for everybody.""",Time limit for application for sale,5,6,-1,35,35,0
Now only 0.7 percent of companies will remain outside this rate.,And every story I have is like 50 years later.,11,10,1,64,46,18
Fire destroys crop in 6 villages,"Prison food would also be served to them, jail department sources said.",6,12,-6,32,71,-39
He returned to India in September 2019 after recovering,This film is not fictitious.,9,5,4,55,28,27
"""The financial situation is terribly bad.","""The courts judgment has to be respected.",6,7,-1,41,41,0
"Subsequently, the matter reached high court.","""The most powerful and effective.",6,5,1,44,33,11
"""The phone comes with a 6.3-inch full HD+ display.",It also asked reply from the Kerala government on this.,9,10,-1,50,55,-5
"Meanwhile, the district administration has made all arrangements for the event.",We want a strong India.,11,5,6,79,23,56
Neogen Chem 26 April 2019 41 215 358,"Sweat's not bad, but I think we need something more than that, ideally.",8,13,-5,36,71,-35
"""The Redmi K20 shares identical specs but is powered by an octa-core Qualcomm Snapdragon 730 processor.","Chandigarh: Due to lockdown, some of the migrant workers, pilgrims, tourists, students and other persons are stranded in Chandigarh.",16,19,-3,103,132,-29
"""The culprit has been arrested,",Sania Mirza aims to come back at Hobart International,5,9,-4,31,53,-22
And there is a ban upon any community which We have destroyed: that they shall not return.,"And a better improve properties, when obtained, when people achieve such kind of 2 phase microstructure.",17,16,1,90,104,-14
"Due to dense fog at many places, the rail and road traffic was also affected across the region.",Prime Minister Narendra Modi express grief on the incident.,18,9,9,95,59,36
"Nevertheless, when elders who handle these matters show Christlike love, this can have a profound impact on the wrongdoer.","""The Prime Minister made the comment in an interview to ANI.",19,11,8,122,60,62
"Explanation.For the purposes of this clause,","However, there is no room for complacency and we cannot sit on our laurels",6,14,-8,44,74,-30
PM Modi lauds Amit Shah on his birthday,This will lock your computer system.,8,6,2,39,36,3
Police have started the investigation in the possession of the body.,Each painting depicted a different message.,11,6,5,68,43,25
Preliminary reports suggest that the plane was en route to the Ukrainian capital of Kyiv.,"Following this, BJP leaders and the Mayor reached the spot and demanded action in this regard.",15,16,-1,89,94,-5
"If you are unfamiliar with waders, take a book to help with identification.",Finch's goal is to continue till 2023 World Cup,13,9,4,75,47,28
Strabotomy is done to cure strabismus,"""The temperatures have dipped alarmingly over the last few days.",6,10,-4,37,64,-27
We should not be giving importance to such people.,CSK beat Sunrisers Hyderabad by six wickets at MA Chidambaram Stadium in Chennai.,9,13,-4,50,81,-31
Pravin Dubey (Base price Rs 20 lakhs),He is under constant observation.,7,5,2,37,33,4
"""The Moon is the Moon!","But, she did not respond.",5,5,0,22,25,-3
"""""""Emphasising that the two countries are nuclear powers and therefore, nuclear blackmail in the world is Pakistan's strategy.""","Gujarat Assembly Election 2017: A look at the war of words between BJP, Congress",18,14,4,127,80,47
Finance Minister said the Cabinet has also approved cutting governments stake in select PSUs below 51 per cent while retaining management control.,"Trek the difficult route, moving through the middle of forests and villages.",22,12,10,146,76,70
"""The rivalry between the two teams was intense.","""The ad will release next month.",8,6,2,47,32,15
Saving of foreign exchange for various VTSs in India,A cage was placed to catch the leopard.,9,8,1,52,39,13
"Starting June 22, Deutsche Welle will offer four additional 24-hour TV channels for various parts of the world.","Officially, the story is that teachers are returning to work in government schools but the pupils remain absent.",18,18,0,111,112,-1
This happens all over the world.,This government cannot be trusted.,6,5,1,32,34,-2
"TEHRAN: India and Iran signed an agreement on Chabahar port on Monday, the second day of Prime Minister Narendra Modi''s visit to the country.","If youre a business, you need to provide details such as contact name, company name, pin code, PAN number or GST number, email ID, and phone number.",24,27,-3,142,148,-6
"""Their houses are peace itself, free from dread, and the rod of God is not upon them.",A party needs 145 votes to prove its majority in the 288-member state Assembly.,17,14,3,85,79,6
Chief Minister Jai Ram Thakur also visited their family members and expressed his condolences.,"""The Minister said, there is a sharp fall in the prices of solar energy due to enhancement of capacity.",14,19,-5,94,103,-9
"After the incident, the victim went to her maternal uncles house.","Earlier, Patel was the political secretary of former Congress chief Sonia Gandhi.",11,12,-1,65,81,-16
"Gujarat also recorded the highest single-day rise of 960 new COVID-19 cases, taking the total count to 47,476, state Health Department said.",Bajwa also starred in the Telugu movie King along with Nagarjuna Akkineni and Trisha.,22,14,8,140,85,55
Police freed her last week.,"""The police also rescued two boys who were held captive there.",5,11,-6,27,62,-35
"Eating utensils, can opener, pocket tool set, and waterproof matches","'Demonetisation Was A Disaster, Tragedy': Congress President Rahul Gandhi Attacks PM Modi On The Second-anniversary Of Demonetisation",10,17,-7,68,133,-65
Our team is a good combination of experience and young players.,"MeToo: Dia Mirza Reacts To Allegations Against Sajid Khan, Says 'He Was Obnoxious And Sexist'",11,15,-4,63,93,-30
Recently Rahul also shared a video on his Instagram.,IREDA and AFD Sign Euro 100 million Agreement,9,8,1,52,45,7
A high score represents a high level of fear of intimacy.,He tried to escape but was chased away and captured.,11,10,1,57,52,5
